Live Coding with Yocto Project #20 bare metal.mp4,101559989,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/Live Coding with Yocto Project #20 bare metal.mp4
Live Coding with Yocto Project #19 ptests.mp4,93928325,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/Live Coding with Yocto Project #19 ptests.mp4
Live coding with Yocto Project 18 Multiconfigs.mp4,112555170,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/Live coding with Yocto Project 18 Multiconfigs.mp4
Yocto Linux #6 - Application Deployment.mp4,51516596,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/yocto/Yocto Linux #6 - Application Deployment.mp4
Yocto Linux #3 - Hello World Kernel Module.mp4,73737910,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/yocto/Yocto Linux #3 - Hello World Kernel Module.mp4
Yocto Linux #4 - Kernel Module read, write, ioctl.mp4,89371915,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/yocto/Yocto Linux #4 - Kernel Module read, write, ioctl.mp4
Yocto Linux #5 - Final kernel driver.mp4,82857653,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/yocto/Yocto Linux #5 - Final kernel driver.mp4
Yocto Linux #1 - Initial setup and ZedBoard bring-up.mp4,71350204,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/yocto/Yocto Linux #1 - Initial setup and ZedBoard bring-up.mp4
“Introduction to the Yocto Project and Bitbake, Part 1” by Behan Webster.mp4,96892411,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/presentation_yocto/“Introduction to the Yocto Project and Bitbake, Part 1” by Behan Webster.mp4
Yocto Project and OpenEmbedded A Collection of Best Practices - Alexandre Belloni, Bootlin.mp4,57468103,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/presentation_yocto/Yocto Project and OpenEmbedded A Collection of Best Practices - Alexandre Belloni, Bootlin.mp4
Live Coding with Yocto Project #6 kernel handling and development.mp4,126664268,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/vues/Live Coding with Yocto Project #6 kernel handling and development.mp4
Live Coding with Yocto Project #1 V2.0 Getting started (current LTS release Dunfell edition).mp4,152148165,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/vues/Live Coding with Yocto Project #1 V2.0 Getting started (current LTS release Dunfell edition).mp4
Live Coding with Yocto Project #4 SDKs.mp4,145861630,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/vues/Live Coding with Yocto Project #4 SDKs.mp4
Live Coding with Yocto Project #2 simple layer, custom image and devtool.mp4,96293326,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/vues/Live Coding with Yocto Project #2 simple layer, custom image and devtool.mp4
Live Coding with Yocto Project #11 Getting started with CC++ development..mp4,134783284,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/vues/Live Coding with Yocto Project #11 Getting started with CC++ development..mp4
Live Coding with Yocto Project #7 distros, machines, images and local.conf.mp4,120456462,/home/abdelwahed/Bureau/DESKTOP/live_coding_with_yocto/vues/Live Coding with Yocto Project #7 distros, machines, images and local.conf.mp4
